Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cp (v, J/g*K),Sound Spd. (v, m/s),Joule-Thomson (v, K/MPa),Viscosity (v, uPa*s),Therm. Cond. (v, W/m*K)
216.59,0.51795,1178.5,0.00084856,79.595,80.034,0.52131,0.97466,1.9532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.09,0.52938,1176.7,0.00084986,80.571,81.021,0.52582,0.97394,1.9544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.59,0.54081,1174.9,0.00085115,81.532,81.992,0.53024,0.97323,1.9556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.08,0.55225,1173.1,0.00085243,82.478,82.949,0.53459,0.97253,1.9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.56,0.56368,1171.4,0.00085369,83.41,83.891,0.53886,0.97185,1.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.03,0.57511,1169.7,0.00085494,84.328,84.82,0.54306,0.97119,1.9592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.5,0.58654,1168,0.00085618,85.233,85.735,0.54719,0.97053,1.9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.95,0.59798,1166.3,0.00085741,86.125,86.638,0.55125,0.96989,1.9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.41,0.60941,1164.7,0.00085862,87.005,87.528,0.55525,0.96926,1.9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.85,0.62084,1163,0.00085983,87.872,88.406,0.55919,0.96864,1.9642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.29,0.63227,1161.4,0.00086102,88.729,89.273,0.56307,0.96804,1.9655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.73,0.6437,1159.8,0.0008622,89.574,90.129,0.56688,0.96744,1.9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.15,0.65514,1158.2,0.00086338,90.408,90.974,0.57065,0.96686,1.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.58,0.66657,1156.7,0.00086454,91.232,91.808,0.57436,0.96628,1.9693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.99,0.678,1155.1,0.00086569,92.045,92.632,0.57801,0.96572,1.9707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.4,0.68943,1153.6,0.00086684,92.849,93.447,0.58162,0.96517,1.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.81,0.70087,1152.1,0.00086798,93.643,94.252,0.58517,0.96462,1.9733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.21,0.7123,1150.6,0.00086911,94.428,95.047,0.58868,0.96408,1.9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.61,0.72373,1149.1,0.00087023,95.204,95.834,0.59214,0.96356,1.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,0.73516,1147.7,0.00087134,95.972,96.612,0.59556,0.96304,1.9774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.39,0.74659,1146.2,0.00087244,96.73,97.382,0.59893,0.96253,1.9787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.77,0.75803,1144.8,0.00087354,97.481,98.143,0.60226,0.96203,1.9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.15,0.76946,1143.3,0.00087463,98.223,98.896,0.60555,0.96154,1.9815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.53,0.78089,1141.9,0.00087571,98.958,99.642,0.6088,0.96105,1.9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.9,0.79232,1140.5,0.00087679,99.685,100.38,0.61201,0.96057,1.9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.27,0.80376,1139.1,0.00087786,100.4,101.11,0.61518,0.9601,1.9857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.63,0.81519,1137.8,0.00087892,101.12,101.83,0.61832,0.95964,1.9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.99,0.82662,1136.4,0.00087998,101.82,102.55,0.62142,0.95918,1.9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.34,0.83805,1135,0.00088103,102.52,103.26,0.62448,0.95873,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228.69,0.84949,1133.7,0.00088207,103.21,103.96,0.62751,0.95829,1.9914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.04,0.86092,1132.4,0.00088311,103.9,104.66,0.63051,0.95786,1.9929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.39,0.87235,1131,0.00088414,104.58,105.35,0.63347,0.95743,1.9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229.73,0.88378,1129.7,0.00088517,105.25,106.03,0.63641,0.957,1.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.07,0.89521,1128.4,0.00088619,105.91,106.71,0.63931,0.95659,1.9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.4,0.90665,1127.1,0.00088721,106.58,107.38,0.64218,0.95618,1.9987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230.74,0.91808,1125.8,0.00088822,107.23,108.05,0.64503,0.95577,2.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
