Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
230.21	0.90000	1127.9	0.00088662	106.19	106.99	0.64052	0.95641	1.9979	877.58	-0.085911	202.15	0.16032	0.013343	23.452	0.042640	396.28	434.65	2.0638	0.67073	1.0071	223.57	22.235	11.587	0.012433
230.25	0.90138	1127.7	0.00088674	106.27	107.07	0.64086	0.95636	1.9981	877.29	-0.085700	202.02	0.16027	0.013334	23.487	0.042576	396.28	434.66	2.0636	0.67086	1.0074	223.57	22.225	11.589	0.012438
230.29	0.90277	1127.6	0.00088687	106.35	107.15	0.64121	0.95632	1.9982	877.00	-0.085488	201.89	0.16022	0.013325	23.522	0.042513	396.29	434.67	2.0634	0.67100	1.0078	223.57	22.215	11.591	0.012442
230.33	0.90415	1127.4	0.00088699	106.43	107.23	0.64156	0.95627	1.9984	876.71	-0.085277	201.75	0.16017	0.013316	23.558	0.042449	396.30	434.68	2.0632	0.67113	1.0081	223.57	22.205	11.594	0.012446
230.37	0.90553	1127.3	0.00088711	106.51	107.31	0.64190	0.95622	1.9986	876.41	-0.085066	201.62	0.16012	0.013307	23.593	0.042386	396.31	434.69	2.0630	0.67127	1.0085	223.57	22.195	11.596	0.012450
230.41	0.90691	1127.1	0.00088723	106.59	107.40	0.64225	0.95617	1.9988	876.12	-0.084854	201.49	0.16007	0.013297	23.628	0.042322	396.32	434.70	2.0628	0.67140	1.0088	223.57	22.184	11.598	0.012455
230.45	0.90830	1126.9	0.00088736	106.67	107.48	0.64260	0.95612	1.9990	875.83	-0.084643	201.36	0.16002	0.013288	23.663	0.042259	396.33	434.71	2.0626	0.67153	1.0092	223.57	22.174	11.600	0.012459
230.49	0.90968	1126.8	0.00088748	106.75	107.56	0.64294	0.95607	1.9991	875.54	-0.084432	201.22	0.15998	0.013279	23.699	0.042197	396.34	434.72	2.0624	0.67167	1.0095	223.57	22.164	11.602	0.012463
230.53	0.91106	1126.6	0.00088760	106.83	107.64	0.64329	0.95602	1.9993	875.25	-0.084220	201.09	0.15993	0.013270	23.734	0.042134	396.34	434.73	2.0622	0.67180	1.0099	223.57	22.154	11.604	0.012468
230.57	0.91245	1126.5	0.00088772	106.91	107.72	0.64363	0.95597	1.9995	874.96	-0.084009	200.96	0.15988	0.013261	23.769	0.042071	396.35	434.74	2.0619	0.67194	1.0102	223.57	22.144	11.606	0.012472
230.61	0.91383	1126.3	0.00088785	106.99	107.80	0.64397	0.95592	1.9997	874.67	-0.083797	200.83	0.15983	0.013252	23.804	0.042009	396.36	434.75	2.0617	0.67207	1.0106	223.57	22.134	11.609	0.012476
230.65	0.91521	1126.2	0.00088797	107.07	107.88	0.64432	0.95587	1.9999	874.38	-0.083586	200.70	0.15978	0.013243	23.840	0.041947	396.37	434.76	2.0615	0.67220	1.0109	223.57	22.124	11.611	0.012481
