Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
304.00	7.3783	575.80	0.0017367	296.61	309.43	1.3586	undefined	undefined	undefined	undefined	41.691	undefined	liquid
304.16	7.3783	395.47	0.0025287	332.82	351.48	1.4968	undefined	undefined	undefined	undefined	27.452	undefined	supercritical
304.32	7.3783	356.50	0.0028051	342.94	363.63	1.5368	undefined	undefined	undefined	undefined	25.207	undefined	supercritical
304.48	7.3783	340.63	0.0029357	347.33	369.00	1.5544	undefined	undefined	undefined	undefined	24.373	undefined	supercritical
304.64	7.3783	329.91	0.0030311	350.41	372.78	1.5668	1.3146	20.763	181.34	7.6416	23.836	0.071682	supercritical
304.80	7.3783	321.67	0.0031088	352.85	375.78	1.5767	1.2787	17.112	183.53	7.7732	23.439	0.066891	supercritical
304.96	7.3783	314.91	0.0031755	354.89	378.32	1.5850	1.2512	14.723	185.29	7.8776	23.123	0.063360	supercritical
305.12	7.3783	309.16	0.0032346	356.66	380.53	1.5923	1.2288	13.021	186.79	7.9637	22.861	0.060593	supercritical
305.28	7.3783	304.12	0.0032881	358.25	382.51	1.5987	1.2099	11.739	188.09	8.0363	22.637	0.058334	supercritical
305.44	7.3783	299.64	0.0033373	359.68	384.30	1.6046	1.1935	10.733	189.26	8.0988	22.442	0.056435	supercritical
305.60	7.3783	295.60	0.0033829	360.99	385.95	1.6100	1.1790	9.9197	190.33	8.1533	22.270	0.054805	supercritical
305.76	7.3783	291.91	0.0034257	362.21	387.48	1.6150	1.1660	9.2465	191.31	8.2013	22.116	0.053381	supercritical
305.92	7.3783	288.52	0.0034660	363.34	388.92	1.6197	1.1543	8.6788	192.23	8.2439	21.977	0.052121	supercritical
306.08	7.3783	285.37	0.0035043	364.41	390.26	1.6241	1.1435	8.1925	193.09	8.2819	21.851	0.050995	supercritical
306.24	7.3783	282.43	0.0035407	365.42	391.54	1.6283	1.1335	7.7707	193.90	8.3161	21.734	0.049978	supercritical
306.40	7.3783	279.68	0.0035756	366.37	392.75	1.6323	1.1243	7.4008	194.67	8.3469	21.627	0.049053	supercritical
306.56	7.3783	277.08	0.0036090	367.28	393.91	1.6360	1.1157	7.0734	195.41	8.3747	21.528	0.048207	supercritical
306.72	7.3783	274.63	0.0036412	368.15	395.02	1.6396	1.1077	6.7813	196.11	8.4000	21.436	0.047428	supercritical
306.88	7.3783	272.31	0.0036723	368.99	396.08	1.6431	1.1001	6.5188	196.78	8.4230	21.349	0.046708	supercritical
307.04	7.3783	270.10	0.0037023	369.79	397.11	1.6465	1.0930	6.2814	197.43	8.4438	21.269	0.046039	supercritical
307.20	7.3783	267.99	0.0037314	370.56	398.09	1.6497	1.0862	6.0656	198.06	8.4628	21.193	0.045415	supercritical
307.36	7.3783	265.98	0.0037597	371.31	399.05	1.6528	1.0798	5.8685	198.66	8.4801	21.121	0.044831	supercritical
307.52	7.3783	264.05	0.0037872	372.03	399.97	1.6558	1.0737	5.6875	199.25	8.4959	21.053	0.044283	supercritical
307.68	7.3783	262.20	0.0038139	372.73	400.87	1.6587	1.0679	5.5207	199.82	8.5103	20.989	0.043767	supercritical
307.84	7.3783	260.41	0.0038400	373.41	401.74	1.6615	1.0624	5.3665	200.37	8.5234	20.928	0.043281	supercritical
308.00	7.3783	258.70	0.0038655	374.07	402.59	1.6643	1.0571	5.2233	200.90	8.5352	20.871	0.042821	supercritical
308.15	7.3783	257.15	0.0038888	374.67	403.36	1.6668	1.0524	5.0982	201.39	8.5454	20.819	0.042412	supercritical
308.30	7.3783	255.61	0.0039122	375.27	404.13	1.6693	1.0477	4.9785	201.88	8.5548	20.769	0.042014	supercritical
