Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
249.01	1.7297	1050.4	0.00095203	143.96	145.61	0.79855	0.93718	2.1225	739.31	0.047485	149.27	0.13772	0.0092346	45.147	0.022150	398.74	437.06	1.9690	0.74158	1.2212	221.44	18.187	12.664	0.014826
249.10	1.7348	1050.0	0.00095240	144.15	145.80	0.79931	0.93711	2.1233	738.62	0.048362	149.05	0.13761	0.0092153	45.284	0.022083	398.75	437.06	1.9685	0.74198	1.2226	221.42	18.170	12.669	0.014840
249.19	1.7399	1049.6	0.00095277	144.34	146.00	0.80007	0.93704	2.1242	737.92	0.049242	148.83	0.13750	0.0091960	45.421	0.022016	398.75	437.06	1.9681	0.74238	1.2240	221.40	18.153	12.675	0.014854
249.29	1.7450	1049.2	0.00095314	144.53	146.19	0.80083	0.93697	2.1251	737.22	0.050125	148.61	0.13739	0.0091768	45.559	0.021949	398.75	437.05	1.9676	0.74278	1.2254	221.38	18.136	12.681	0.014869
249.38	1.7501	1048.8	0.00095352	144.72	146.39	0.80159	0.93690	2.1260	736.52	0.051010	148.40	0.13728	0.0091575	45.698	0.021883	398.76	437.05	1.9672	0.74318	1.2269	221.36	18.119	12.687	0.014883
249.47	1.7552	1048.3	0.00095389	144.91	146.58	0.80235	0.93683	2.1269	735.82	0.051898	148.18	0.13718	0.0091382	45.836	0.021817	398.76	437.05	1.9667	0.74358	1.2283	221.34	18.102	12.693	0.014897
249.56	1.7604	1047.9	0.00095426	145.10	146.78	0.80311	0.93676	2.1278	735.13	0.052790	147.96	0.13707	0.0091190	45.975	0.021751	398.76	437.05	1.9662	0.74398	1.2297	221.32	18.085	12.698	0.014912
249.65	1.7655	1047.5	0.00095463	145.29	146.97	0.80388	0.93669	2.1286	734.43	0.053684	147.74	0.13696	0.0090997	46.114	0.021685	398.76	437.05	1.9658	0.74438	1.2311	221.30	18.069	12.704	0.014926
249.74	1.7707	1047.1	0.00095501	145.48	147.17	0.80464	0.93662	2.1295	733.73	0.054581	147.52	0.13685	0.0090805	46.254	0.021620	398.77	437.05	1.9653	0.74478	1.2326	221.27	18.052	12.710	0.014941
249.84	1.7758	1046.7	0.00095538	145.67	147.36	0.80540	0.93655	2.1304	733.03	0.055481	147.31	0.13674	0.0090613	46.394	0.021554	398.77	437.05	1.9649	0.74519	1.2340	221.25	18.035	12.716	0.014955
