Temperature,Pressure,Density,Volume,Internal Energy,Enthalpy,Entropy,Cv,Cp
169.86,0.00039,1591.1,0.0006285,71.467,71.467,0.41269,0.7922,1.1838
201.67,0.0071548,1505.9,0.00066404,109.4,109.41,0.61734,0.80284,1.2078
211.12,0.01392,1480,0.0006757,120.88,120.89,0.67295,0.81088,1.2202
217.28,0.020684,1462.8,0.00068361,128.42,128.43,0.70814,0.81665,1.229
221.95,0.027449,1449.7,0.0006898,134.17,134.19,0.73435,0.82124,1.2362
225.76,0.034214,1438.9,0.00069497,138.89,138.91,0.75541,0.8251,1.2422
228.99,0.040979,1429.7,0.00069946,142.91,142.94,0.77313,0.82845,1.2476
231.82,0.047744,1421.5,0.00070347,146.45,146.48,0.78847,0.83143,1.2523
234.35,0.054509,1414.2,0.0007071,149.61,149.65,0.80204,0.83412,1.2567
236.63,0.061273,1407.6,0.00071043,152.48,152.52,0.81422,0.83658,1.2608
238.72,0.068038,1401.5,0.00071353,155.11,155.16,0.82531,0.83886,1.2646
240.65,0.074803,1395.8,0.00071643,157.55,157.61,0.83549,0.84098,1.2681
242.44,0.081568,1390.5,0.00071916,159.83,159.89,0.84491,0.84296,1.2715
244.12,0.088333,1385.5,0.00072175,161.96,162.03,0.85368,0.84483,1.2747
245.7,0.095097,1380.8,0.00072421,163.98,164.05,0.86191,0.84661,1.2778
247.19,0.10186,1376.3,0.00072657,165.88,165.96,0.86965,0.84829,1.2808
248.61,0.10863,1372.1,0.00072883,167.7,167.78,0.87696,0.8499,1.2836
249.96,0.11539,1368,0.000731,169.43,169.51,0.88391,0.85144,1.2864
251.24,0.12216,1364.1,0.0007331,171.08,171.17,0.89051,0.85291,1.289
252.48,0.12892,1360.3,0.00073512,172.67,172.77,0.89681,0.85433,1.2916
253.66,0.13569,1356.7,0.00073708,174.2,174.3,0.90285,0.8557,1.2941
254.8,0.14245,1353.2,0.00073898,175.67,175.77,0.90863,0.85702,1.2966
255.89,0.14922,1349.8,0.00074083,177.09,177.2,0.91419,0.8583,1.299
256.95,0.15598,1346.6,0.00074263,178.46,178.57,0.91954,0.85954,1.3013
257.97,0.16275,1343.4,0.00074439,179.79,179.91,0.9247,0.86074,1.3036
258.96,0.16951,1340.3,0.0007461,181.07,181.2,0.92968,0.8619,1.3058
259.92,0.17628,1337.3,0.00074778,182.32,182.45,0.9345,0.86304,1.308
260.85,0.18304,1334.4,0.00074941,183.54,183.68,0.93917,0.86414,1.3102
261.76,0.1898,1331.5,0.00075102,184.72,184.86,0.94369,0.86522,1.3123
262.64,0.19657,1328.8,0.00075259,185.87,186.02,0.94809,0.86627,1.3143
263.49,0.20333,1326,0.00075413,187,187.15,0.95236,0.8673,1.3164
264.33,0.2101,1323.4,0.00075564,188.09,188.25,0.95651,0.8683,1.3184
265.14,0.21686,1320.8,0.00075712,189.16,189.33,0.96056,0.86928,1.3204
265.94,0.22363,1318.2,0.00075858,190.21,190.38,0.9645,0.87024,1.3223
266.71,0.23039,1315.8,0.00076002,191.23,191.41,0.96834,0.87118,1.3243
267.47,0.23716,1313.3,0.00076143,192.23,192.41,0.97209,0.8721,1.3262
268.21,0.24392,1310.9,0.00076283,193.21,193.4,0.97576,0.87301,1.328
268.94,0.25069,1308.6,0.0007642,194.18,194.37,0.97934,0.8739,1.3299
269.65,0.25745,1306.2,0.00076555,195.12,195.32,0.98284,0.87477,1.3317
270.35,0.26422,1304,0.00076688,196.04,196.25,0.98627,0.87562,1.3336
271.03,0.27098,1301.7,0.0007682,196.95,197.16,0.98962,0.87647,1.3354
271.7,0.27775,1299.5,0.0007695,197.84,198.06,0.99291,0.87729,1.3371
272.36,0.28451,1297.4,0.00077078,198.72,198.94,0.99613,0.87811,1.3389
273.01,0.29128,1295.3,0.00077205,199.58,199.81,0.9993,0.87891,1.3406
273.64,0.29804,1293.2,0.0007733,200.43,200.66,1.0024,0.8797,1.3424
274.26,0.30481,1291.1,0.00077454,201.26,201.5,1.0054,0.88048,1.3441
274.88,0.31157,1289,0.00077577,202.08,202.32,1.0084,0.88124,1.3458
275.48,0.31834,1287,0.00077698,202.89,203.14,1.0114,0.882,1.3475
276.07,0.3251,1285.1,0.00077818,203.69,203.94,1.0143,0.88275,1.3492
276.66,0.33187,1283.1,0.00077936,204.47,204.73,1.0171,0.88348,1.3508
277.23,0.33863,1281.2,0.00078054,205.24,205.51,1.0199,0.88421,1.3525
277.8,0.3454,1279.3,0.0007817,206,206.27,1.0226,0.88492,1.3541
278.36,0.35216,1277.4,0.00078286,206.76,207.03,1.0253,0.88563,1.3558
278.9,0.35893,1275.5,0.000784,207.5,207.78,1.028,0.88633,1.3574
279.45,0.36569,1273.7,0.00078513,208.23,208.51,1.0306,0.88702,1.359
279.98,0.37245,1271.9,0.00078625,208.95,209.24,1.0332,0.8877,1.3606
280.51,0.37922,1270.1,0.00078737,209.66,209.96,1.0357,0.88837,1.3622
281.03,0.38598,1268.3,0.00078847,210.36,210.67,1.0382,0.88904,1.3638
281.54,0.39275,1266.5,0.00078957,211.06,211.37,1.0407,0.88969,1.3653
