Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
178.78	0.0010000	1567.5	0.00063797	82.036	82.037	0.47333	0.79105	1.1864	1074.5	-0.37478	1539.2	0.13986	0.025905	0.068761	14.543	325.61	340.16	1.9171	0.52387	0.60676	129.67	246.85	7.1838	0.0037958
180.42	0.0011750	1563.1	0.00063975	83.985	83.986	0.48418	0.79132	1.1874	1066.2	-0.37331	1459.1	0.13888	0.025635	0.080075	12.488	326.46	341.13	1.9094	0.52771	0.61072	130.19	230.33	7.2487	0.0039274
181.87	0.0013500	1559.3	0.00064133	85.699	85.700	0.49365	0.79165	1.1883	1058.8	-0.37197	1394.5	0.13804	0.025398	0.091289	10.954	327.20	341.99	1.9029	0.53107	0.61420	130.64	217.11	7.3056	0.0040431
183.16	0.0015250	1555.8	0.00064275	87.233	87.234	0.50205	0.79203	1.1892	1052.3	-0.37073	1340.8	0.13728	0.025187	0.10242	9.7642	327.87	342.76	1.8972	0.53408	0.61732	131.04	206.20	7.3565	0.0041465
184.32	0.0017000	1552.7	0.00064404	88.622	88.623	0.50961	0.79242	1.1901	1046.4	-0.36958	1295.1	0.13660	0.024996	0.11346	8.8133	328.48	343.46	1.8922	0.53680	0.62014	131.40	197.02	7.4025	0.0042401
185.39	0.0018750	1549.8	0.00064522	89.895	89.896	0.51650	0.79282	1.1909	1040.9	-0.36849	1255.5	0.13598	0.024822	0.12444	8.0357	329.04	344.11	1.8877	0.53929	0.62273	131.72	189.13	7.4446	0.0043258
186.38	0.0020500	1547.2	0.00064633	91.071	91.072	0.52282	0.79323	1.1917	1035.9	-0.36746	1220.8	0.13541	0.024661	0.13536	7.3876	329.56	344.70	1.8836	0.54159	0.62513	132.02	182.27	7.4834	0.0044050
187.30	0.0022250	1544.8	0.00064735	92.164	92.165	0.52867	0.79364	1.1925	1031.3	-0.36649	1189.9	0.13488	0.024511	0.14622	6.8389	330.04	345.26	1.8800	0.54372	0.62735	132.30	176.23	7.5194	0.0044785
188.15	0.0024000	1542.5	0.00064832	93.186	93.188	0.53412	0.79404	1.1933	1027.0	-0.36557	1162.2	0.13439	0.024372	0.15703	6.3682	330.49	345.78	1.8766	0.54571	0.62944	132.56	170.85	7.5530	0.0045472
188.96	0.0025750	1540.3	0.00064923	94.147	94.149	0.53921	0.79444	1.1940	1022.9	-0.36468	1137.2	0.13393	0.024241	0.16779	5.9599	330.92	346.27	1.8734	0.54759	0.63140	132.80	166.03	7.5846	0.0046118
189.72	0.0027500	1538.3	0.00065009	95.055	95.057	0.54401	0.79484	1.1947	1019.1	-0.36384	1114.4	0.13350	0.024118	0.17850	5.6022	331.32	346.73	1.8706	0.54935	0.63325	133.03	161.67	7.6144	0.0046728
190.44	0.0029250	1536.3	0.00065091	95.915	95.917	0.54853	0.79523	1.1954	1015.4	-0.36302	1093.5	0.13309	0.024001	0.18917	5.2862	331.70	347.17	1.8679	0.55102	0.63501	133.24	157.70	7.6425	0.0047305
191.12	0.0031000	1534.5	0.00065169	96.732	96.734	0.55282	0.79561	1.1961	1012.0	-0.36224	1074.2	0.13270	0.023890	0.19980	5.0049	332.07	347.58	1.8653	0.55261	0.63668	133.44	154.07	7.6693	0.0047853
191.78	0.0032750	1532.7	0.00065243	97.512	97.514	0.55689	0.79599	1.1967	1008.7	-0.36148	1056.4	0.13233	0.023785	0.21040	4.7529	332.42	347.98	1.8629	0.55413	0.63828	133.64	150.73	7.6948	0.0048376
192.40	0.0034500	1531.0	0.00065315	98.257	98.260	0.56077	0.79636	1.1973	1005.6	-0.36075	1039.8	0.13198	0.023684	0.22095	4.5258	332.75	348.36	1.8607	0.55557	0.63981	133.82	147.64	7.7191	0.0048876
192.99	0.0036250	1529.4	0.00065383	98.972	98.974	0.56448	0.79672	1.1979	1002.6	-0.36005	1024.3	0.13164	0.023588	0.23148	4.3201	333.07	348.73	1.8586	0.55696	0.64127	133.99	144.78	7.7424	0.0049354
193.57	0.0038000	1527.9	0.00065449	99.658	99.660	0.56803	0.79708	1.1985	999.72	-0.35936	1009.7	0.13132	0.023495	0.24197	4.1328	333.38	349.08	1.8566	0.55829	0.64268	134.16	142.12	7.7647	0.0049814
194.12	0.0039750	1526.4	0.00065513	100.32	100.32	0.57143	0.79743	1.1991	996.96	-0.35870	996.10	0.13101	0.023407	0.25243	3.9615	333.67	349.42	1.8547	0.55957	0.64403	134.32	139.63	7.7862	0.0050256
194.65	0.0041500	1525.0	0.00065575	100.95	100.96	0.57470	0.79777	1.1997	994.31	-0.35805	983.23	0.13072	0.023321	0.26286	3.8043	333.96	349.75	1.8529	0.56080	0.64534	134.47	137.30	7.8068	0.0050681
195.16	0.0043250	1523.6	0.00065634	101.57	101.57	0.57785	0.79811	1.2002	991.74	-0.35742	971.08	0.13043	0.023239	0.27326	3.6595	334.23	350.06	1.8511	0.56199	0.64660	134.62	135.11	7.8268	0.0051092
195.65	0.0045000	1522.3	0.00065692	102.16	102.16	0.58089	0.79844	1.2008	989.27	-0.35681	959.57	0.13016	0.023159	0.28364	3.5256	334.50	350.37	1.8495	0.56314	0.64782	134.76	133.05	7.8460	0.0051489
196.13	0.0046750	1521.0	0.00065748	102.74	102.74	0.58382	0.79876	1.2013	986.88	-0.35621	948.64	0.12989	0.023082	0.29399	3.4015	334.76	350.66	1.8479	0.56425	0.64900	134.90	131.10	7.8646	0.0051873
196.60	0.0048500	1519.7	0.00065802	103.29	103.30	0.58666	0.79908	1.2018	984.56	-0.35562	938.25	0.12963	0.023007	0.30431	3.2861	335.01	350.95	1.8464	0.56533	0.65015	135.03	129.26	7.8827	0.0052245
197.05	0.0050250	1518.5	0.00065855	103.83	103.84	0.58941	0.79940	1.2023	982.32	-0.35505	928.35	0.12938	0.022935	0.31462	3.1785	335.25	351.23	1.8449	0.56637	0.65126	135.16	127.51	7.9001	0.0052606
197.48	0.0052000	1517.3	0.00065906	104.36	104.36	0.59207	0.79971	1.2028	980.14	-0.35449	918.89	0.12914	0.022865	0.32490	3.0779	335.49	351.50	1.8435	0.56739	0.65235	135.28	125.85	7.9171	0.0052956
