Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
308.15	0.88698	1167.5	0.00085653	248.25	249.01	1.1670	0.92615	1.4709	459.90	0.071439	172.00	0.076853	liquid
308.15	0.88698	1167.5	0.00085653	248.25	249.01	1.1670	0.92615	1.4709	459.90	0.071439	172.00	0.076853	liquid
308.15	0.88698	43.416	0.023033	396.76	417.19	1.7128	0.86906	1.1028	141.86	23.626	12.132	0.014874	vapor
308.39	0.88698	43.343	0.023072	396.99	417.46	1.7137	0.86858	1.1011	142.01	23.529	12.143	0.014890	vapor
308.64	0.88698	43.271	0.023110	397.23	417.72	1.7145	0.86813	1.0994	142.16	23.433	12.154	0.014905	vapor
308.88	0.88698	43.199	0.023149	397.46	417.99	1.7154	0.86768	1.0977	142.31	23.337	12.165	0.014921	vapor
309.12	0.88698	43.127	0.023187	397.69	418.26	1.7163	0.86726	1.0960	142.45	23.242	12.175	0.014936	vapor
309.37	0.88698	43.056	0.023225	397.92	418.52	1.7171	0.86684	1.0944	142.60	23.148	12.186	0.014952	vapor
309.61	0.88698	42.986	0.023263	398.16	418.79	1.7180	0.86644	1.0928	142.74	23.055	12.197	0.014967	vapor
309.85	0.88698	42.916	0.023301	398.39	419.05	1.7188	0.86606	1.0913	142.89	22.962	12.207	0.014983	vapor
310.09	0.88698	42.846	0.023339	398.62	419.32	1.7197	0.86568	1.0898	143.03	22.870	12.218	0.014999	vapor
310.34	0.88698	42.777	0.023377	398.85	419.58	1.7205	0.86532	1.0883	143.18	22.779	12.229	0.015015	vapor
310.58	0.88698	42.708	0.023415	399.08	419.85	1.7214	0.86498	1.0869	143.32	22.689	12.239	0.015031	vapor
310.82	0.88698	42.640	0.023452	399.31	420.11	1.7222	0.86464	1.0854	143.46	22.600	12.250	0.015047	vapor
311.07	0.88698	42.572	0.023490	399.54	420.38	1.7231	0.86432	1.0841	143.60	22.511	12.261	0.015063	vapor
311.31	0.88698	42.504	0.023527	399.77	420.64	1.7239	0.86401	1.0827	143.75	22.423	12.272	0.015079	vapor
311.55	0.88698	42.437	0.023565	400.00	420.90	1.7248	0.86371	1.0814	143.89	22.336	12.282	0.015095	vapor
311.80	0.88698	42.370	0.023602	400.23	421.17	1.7256	0.86342	1.0800	144.03	22.249	12.293	0.015111	vapor
312.04	0.88698	42.303	0.023639	400.46	421.43	1.7265	0.86315	1.0788	144.17	22.163	12.303	0.015127	vapor
312.28	0.88698	42.237	0.023676	400.69	421.69	1.7273	0.86288	1.0775	144.31	22.078	12.314	0.015143	vapor
312.53	0.88698	42.172	0.023713	400.92	421.95	1.7281	0.86263	1.0763	144.44	21.994	12.325	0.015160	vapor
312.77	0.88698	42.106	0.023749	401.15	422.21	1.7290	0.86238	1.0751	144.58	21.910	12.335	0.015176	vapor
