Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
248.18	0.10655	1373.4	0.00072814	167.15	167.23	0.87476	0.84941	1.2828	736.83	-0.25717	372.76	0.10339	0.015030	5.5133	0.18138	364.14	383.47	1.7461	0.69132	0.79802	145.79	45.285	9.8193	0.0094047
248.45	0.10785	1372.5	0.00072857	167.49	167.57	0.87614	0.84972	1.2833	735.58	-0.25642	371.33	0.10326	0.014990	5.5767	0.17932	364.30	383.64	1.7458	0.69203	0.79896	145.82	45.113	9.8290	0.0094269
248.72	0.10915	1371.7	0.00072900	167.84	167.91	0.87752	0.85002	1.2838	734.35	-0.25568	369.93	0.10314	0.014951	5.6401	0.17730	364.45	383.80	1.7455	0.69274	0.79989	145.85	44.943	9.8387	0.0094489
248.98	0.11045	1370.9	0.00072942	168.17	168.25	0.87887	0.85032	1.2844	733.13	-0.25494	368.55	0.10301	0.014912	5.7035	0.17533	364.60	383.97	1.7453	0.69344	0.80082	145.88	44.776	9.8482	0.0094706
249.24	0.11175	1370.2	0.00072984	168.51	168.59	0.88022	0.85062	1.2849	731.91	-0.25421	367.18	0.10289	0.014873	5.7668	0.17341	364.75	384.13	1.7450	0.69414	0.80174	145.90	44.611	9.8577	0.0094922
249.50	0.11305	1369.4	0.00073026	168.84	168.92	0.88155	0.85091	1.2854	730.71	-0.25347	365.84	0.10277	0.014835	5.8301	0.17152	364.90	384.29	1.7447	0.69483	0.80265	145.93	44.449	9.8671	0.0095136
249.75	0.11435	1368.6	0.00073067	169.17	169.25	0.88286	0.85121	1.2860	729.53	-0.25274	364.52	0.10265	0.014797	5.8934	0.16968	365.04	384.45	1.7445	0.69551	0.80356	145.96	44.289	9.8764	0.0095348
250.01	0.11566	1367.8	0.00073108	169.49	169.58	0.88417	0.85150	1.2865	728.35	-0.25202	363.21	0.10253	0.014760	5.9566	0.16788	365.19	384.61	1.7443	0.69619	0.80446	145.98	44.132	9.8856	0.0095558
250.26	0.11696	1367.1	0.00073149	169.82	169.90	0.88546	0.85178	1.2870	727.18	-0.25130	361.92	0.10241	0.014723	6.0199	0.16612	365.33	384.76	1.7440	0.69686	0.80535	146.01	43.977	9.8947	0.0095766
250.51	0.11826	1366.3	0.00073190	170.14	170.22	0.88674	0.85207	1.2875	726.02	-0.25058	360.65	0.10230	0.014686	6.0830	0.16439	365.48	384.92	1.7438	0.69753	0.80624	146.03	43.824	9.9038	0.0095973
250.76	0.11956	1365.6	0.00073230	170.46	170.54	0.88801	0.85235	1.2880	724.87	-0.24986	359.40	0.10218	0.014649	6.1462	0.16270	365.62	385.07	1.7435	0.69819	0.80713	146.06	43.674	9.9128	0.0096178
251.00	0.12086	1364.8	0.00073270	170.77	170.86	0.88927	0.85263	1.2885	723.74	-0.24915	358.16	0.10207	0.014613	6.2093	0.16105	365.76	385.22	1.7433	0.69885	0.80801	146.08	43.526	9.9216	0.0096381
251.25	0.12216	1364.1	0.00073310	171.08	171.17	0.89051	0.85291	1.2890	722.61	-0.24844	356.94	0.10195	0.014578	6.2724	0.15943	365.90	385.37	1.7431	0.69950	0.80888	146.11	43.379	9.9305	0.0096583
251.49	0.12346	1363.3	0.00073349	171.39	171.48	0.89175	0.85319	1.2895	721.49	-0.24773	355.74	0.10184	0.014542	6.3355	0.15784	366.04	385.52	1.7428	0.70015	0.80975	146.13	43.235	9.9392	0.0096782
251.73	0.12476	1362.6	0.00073388	171.70	171.79	0.89297	0.85347	1.2900	720.38	-0.24703	354.55	0.10173	0.014507	6.3985	0.15629	366.17	385.67	1.7426	0.70079	0.81061	146.15	43.093	9.9479	0.0096981
251.96	0.12606	1361.9	0.00073427	172.01	172.10	0.89418	0.85374	1.2905	719.29	-0.24633	353.38	0.10162	0.014472	6.4616	0.15476	366.31	385.82	1.7424	0.70143	0.81147	146.17	42.952	9.9565	0.0097178
252.20	0.12736	1361.2	0.00073466	172.31	172.40	0.89539	0.85401	1.2910	718.20	-0.24563	352.22	0.10151	0.014438	6.5245	0.15327	366.44	385.96	1.7422	0.70207	0.81232	146.20	42.814	9.9650	0.0097373
252.43	0.12866	1360.5	0.00073504	172.61	172.71	0.89658	0.85428	1.2915	717.11	-0.24493	351.08	0.10140	0.014403	6.5875	0.15180	366.58	386.11	1.7420	0.70270	0.81317	146.22	42.677	9.9735	0.0097567
252.66	0.12996	1359.8	0.00073543	172.91	173.01	0.89776	0.85455	1.2920	716.04	-0.24424	349.95	0.10130	0.014369	6.6504	0.15037	366.71	386.25	1.7418	0.70332	0.81401	146.24	42.542	9.9818	0.0097759
252.89	0.13126	1359.1	0.00073581	173.21	173.30	0.89893	0.85481	1.2925	714.98	-0.24355	348.83	0.10119	0.014336	6.7134	0.14896	366.84	386.39	1.7416	0.70394	0.81485	146.26	42.409	9.9902	0.0097950
253.12	0.13256	1358.4	0.00073618	173.50	173.60	0.90009	0.85507	1.2930	713.92	-0.24286	347.73	0.10108	0.014302	6.7763	0.14757	366.97	386.54	1.7413	0.70456	0.81569	146.28	42.278	9.9984	0.0098140
253.35	0.13387	1357.7	0.00073656	173.79	173.89	0.90125	0.85534	1.2935	712.88	-0.24218	346.64	0.10098	0.014269	6.8391	0.14622	367.10	386.68	1.7411	0.70517	0.81652	146.30	42.148	10.007	0.0098328
253.57	0.13517	1357.0	0.00073693	174.08	174.18	0.90239	0.85560	1.2939	711.84	-0.24150	345.56	0.10087	0.014236	6.9020	0.14489	367.23	386.81	1.7409	0.70578	0.81734	146.32	42.020	10.015	0.0098514
253.79	0.13647	1356.3	0.00073730	174.37	174.47	0.90352	0.85585	1.2944	710.81	-0.24082	344.50	0.10077	0.014204	6.9648	0.14358	367.36	386.95	1.7407	0.70638	0.81816	146.33	41.894	10.023	0.0098700
254.01	0.13777	1355.6	0.00073767	174.65	174.76	0.90465	0.85611	1.2949	709.78	-0.24014	343.45	0.10067	0.014171	7.0276	0.14230	367.48	387.09	1.7406	0.70698	0.81898	146.35	41.769	10.031	0.0098884
