Temperature (K),Pressure (MPa),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/MPa)","Viscosity (l, uPa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/MPa)","Viscosity (v, uPa*s)","Therm. Cond. (v, W/m*K)"
178.78,0.001,1567.5,0.00063797,82.036,82.037,0.47333,0.79105,1.1864,1074.5,-0.37478,1539.2,0.13986,0.025905,0.068761,14.543,325.61,340.16,1.9171,0.52387,0.60676,129.67,246.85,7.1838,0.0037958
186.11,0.002,1547.9,0.00064602,90.744,90.745,0.52106,0.79311,1.1915,1037.3,-0.36775,1230.3,0.13557,0.024706,0.13225,7.5615,329.41,344.54,1.8848,0.54095,0.62446,131.94,184.14,7.4726,0.004383
190.74,0.003,1535.5,0.00065124,96.27,96.272,0.5504,0.79539,1.1957,1013.9,-0.36268,1085,0.13292,0.023953,0.19373,5.1617,331.86,347.35,1.8667,0.55172,0.63574,133.33,156.1,7.6542,0.0047543
194.19,0.004,1526.2,0.00065522,100.41,100.41,0.57191,0.79748,1.1992,996.58,-0.3586,994.21,0.13097,0.023394,0.25392,3.9383,333.71,349.47,1.8544,0.55975,0.64422,134.34,139.29,7.7892,0.0050317
196.98,0.005,1518.7,0.00065847,103.76,103.76,0.58902,0.79935,1.2022,982.63,-0.35513,929.74,0.12942,0.022945,0.31315,3.1934,335.22,351.19,1.8451,0.56623,0.65111,135.14,127.75,7.8977,0.0052555
199.33,0.006,1512.3,0.00066125,106.59,106.59,0.60329,0.80105,1.205,970.93,-0.35208,880.51,0.12812,0.022568,0.37161,2.691,336.5,352.64,1.8377,0.57169,0.65695,135.8,119.2,7.9889,0.0054442
201.37,0.007,1506.7,0.00066369,109.05,109.05,0.61558,0.80261,1.2074,960.79,-0.34934,841.13,0.12701,0.022242,0.42945,2.3286,337.61,353.91,1.8315,0.57644,0.66206,136.36,112.51,8.0678,0.0056081
203.18,0.008,1501.8,0.00066587,111.23,111.24,0.62638,0.80405,1.2096,951.84,-0.34684,808.54,0.12602,0.021953,0.48675,2.0545,338.61,355.04,1.8263,0.58066,0.66662,136.85,107.1,8.1376,0.0057535
204.81,0.009,1497.3,0.00066785,113.2,113.21,0.63605,0.80538,1.2117,943.8,-0.34453,780.92,0.12514,0.021694,0.54358,1.8397,339.5,356.06,1.8218,0.58446,0.67076,137.29,102.6,8.2004,0.0058843
206.29,0.01,1493.3,0.00066967,115,115.01,0.6448,0.80663,1.2136,936.5,-0.34237,757.05,0.12435,0.021459,0.6,1.6667,340.32,356.99,1.8178,0.58793,0.67454,137.68,98.771,8.2574,0.0060036
207.66,0.011,1489.5,0.00067136,116.66,116.67,0.6528,0.8078,1.2154,929.8,-0.34035,736.11,0.12362,0.021243,0.65606,1.5243,341.08,357.85,1.8142,0.59112,0.67805,138.03,95.463,8.3097,0.0061133
208.92,0.012,1486,0.00067293,118.2,118.21,0.66019,0.80891,1.2171,923.6,-0.33844,717.52,0.12294,0.021043,0.71178,1.4049,341.78,358.64,1.811,0.59409,0.68132,138.36,92.564,8.3582,0.0062151
210.1,0.013,1482.8,0.00067441,119.63,119.64,0.66705,0.80996,1.2188,917.83,-0.33662,700.84,0.12232,0.020856,0.7672,1.3034,342.44,359.39,1.8081,0.59686,0.68438,138.66,89.996,8.4033,0.0063101
211.21,0.014,1479.7,0.00067581,120.98,120.99,0.67345,0.81096,1.2203,912.43,-0.33489,685.75,0.12173,0.020682,0.82234,1.216,343.06,360.08,1.8055,0.59946,0.68727,138.93,87.697,8.4455,0.0063992
212.25,0.015,1476.8,0.00067713,122.26,122.27,0.67947,0.81191,1.2218,907.34,-0.33323,671.99,0.12119,0.020518,0.87722,1.14,343.64,360.74,1.803,0.60192,0.69002,139.19,85.624,8.4853,0.0064832
213.24,0.016,1474.1,0.00067839,123.46,123.47,0.68514,0.81282,1.2232,902.54,-0.33164,659.37,0.12067,0.020363,0.93186,1.0731,344.2,361.37,1.8007,0.60426,0.69263,139.43,83.74,8.5228,0.0065627
214.18,0.017,1471.5,0.00067959,124.61,124.62,0.69051,0.8137,1.2245,897.99,-0.3301,647.73,0.12018,0.020216,0.98629,1.0139,344.72,361.96,1.7986,0.60647,0.69512,139.66,82.017,8.5585,0.0066382
215.07,0.018,1469,0.00068074,125.7,125.72,0.6956,0.81454,1.2258,893.65,-0.32862,636.94,0.11971,0.020076,1.0405,0.96108,345.23,362.53,1.7967,0.60859,0.6975,139.87,80.434,8.5924,0.0067102
215.92,0.019,1466.6,0.00068184,126.75,126.76,0.70045,0.81535,1.227,889.52,-0.32719,626.9,0.11927,0.019942,1.0945,0.91364,345.71,363.07,1.7948,0.61062,0.69979,140.07,78.971,8.6247,0.006779
216.74,0.02,1464.3,0.00068291,127.75,127.77,0.70509,0.81613,1.2282,885.57,-0.32581,617.51,0.11885,0.019815,1.1484,0.87081,346.17,363.58,1.7931,0.61256,0.70199,140.26,77.613,8.6556,0.0068448
217.52,0.021,1462.1,0.00068393,128.72,128.73,0.70952,0.81689,1.2294,881.79,-0.32446,608.71,0.11844,0.019692,1.202,0.83194,346.61,364.08,1.7915,0.61443,0.70412,140.45,76.349,8.6852,0.0069081
218.28,0.022,1460,0.00068492,129.64,129.66,0.71377,0.81762,1.2305,878.15,-0.32315,600.43,0.11806,0.019575,1.2555,0.79649,347.04,364.56,1.7899,0.61623,0.70617,140.62,75.167,8.7137,0.0069689
219,0.023,1458,0.00068587,130.54,130.55,0.71786,0.81832,1.2316,874.65,-0.32188,592.62,0.11768,0.019462,1.3089,0.76403,347.45,365.02,1.7885,0.61797,0.70816,140.78,74.058,8.7411,0.0070275
219.7,0.024,1456,0.0006868,131.4,131.41,0.7218,0.81901,1.2327,871.28,-0.32063,585.23,0.11732,0.019353,1.362,0.73419,347.84,365.46,1.7871,0.61965,0.71008,140.94,73.016,8.7675,0.0070841
220.38,0.025,1454.1,0.0006877,132.23,132.25,0.72559,0.81968,1.2337,868.02,-0.31942,578.22,0.11698,0.019248,1.4151,0.70667,348.23,365.89,1.7858,0.62127,0.71195,141.09,72.033,8.793,0.0071388
221.04,0.026,1452.3,0.00068857,133.04,133.06,0.72925,0.82033,1.2348,864.87,-0.31824,571.57,0.11664,0.019146,1.468,0.6812,348.6,366.31,1.7845,0.62285,0.71377,141.23,71.104,8.8176,0.0071917
221.67,0.027,1450.5,0.00068942,133.83,133.84,0.73279,0.82096,1.2357,861.82,-0.31708,565.23,0.11632,0.019048,1.5208,0.65755,348.96,366.71,1.7833,0.62438,0.71554,141.37,70.223,8.8415,0.007243
222.29,0.028,1448.7,0.00069025,134.59,134.61,0.73622,0.82158,1.2367,858.87,-0.31594,559.18,0.11601,0.018952,1.5735,0.63554,349.31,367.1,1.7822,0.62587,0.71726,141.51,69.387,8.8646,0.0072928
222.89,0.029,1447.1,0.00069106,135.33,135.35,0.73955,0.82218,1.2376,856,-0.31483,553.41,0.1157,0.01886,1.626,0.61501,349.65,367.48,1.7811,0.62732,0.71895,141.63,68.591,8.8871,0.0073412
223.47,0.03,1445.4,0.00069185,136.05,136.07,0.74277,0.82277,1.2386,853.22,-0.31374,547.88,0.11541,0.01877,1.6784,0.5958,349.98,367.85,1.78,0.62873,0.72059,141.76,67.833,8.9089,0.0073882
224.03,0.031,1443.8,0.00069261,136.75,136.77,0.74591,0.82334,1.2395,850.51,-0.31267,542.58,0.11512,0.018682,1.7307,0.57779,350.3,368.21,1.779,0.6301,0.72219,141.88,67.11,8.9301,0.007434
224.59,0.032,1442.2,0.00069337,137.43,137.45,0.74895,0.8239,1.2403,847.88,-0.31162,537.5,0.11485,0.018597,1.783,0.56087,350.62,368.56,1.778,0.63144,0.72376,141.99,66.418,8.9507,0.0074787
225.12,0.033,1440.7,0.0006941,138.1,138.12,0.75192,0.82445,1.2412,845.31,-0.31058,532.61,0.11457,0.018514,1.8351,0.54494,350.92,368.91,1.7771,0.63275,0.7253,142.1,65.755,8.9708,0.0075222
225.65,0.034,1439.2,0.00069482,138.75,138.77,0.75481,0.82498,1.2421,842.81,-0.30957,527.91,0.11431,0.018433,1.8871,0.52992,351.22,369.24,1.7762,0.63403,0.7268,142.21,65.12,8.9904,0.0075646
226.16,0.035,1437.8,0.00069552,139.38,139.41,0.75762,0.82551,1.2429,840.37,-0.30857,523.38,0.11405,0.018355,1.939,0.51573,351.51,369.56,1.7753,0.63528,0.72827,142.31,64.51,9.0095,0.0076061
226.66,0.036,1436.3,0.00069621,140.01,140.03,0.76037,0.82603,1.2437,837.98,-0.30759,519.01,0.1138,0.018278,1.9908,0.50231,351.8,369.88,1.7744,0.6365,0.72972,142.41,63.924,9.0282,0.0076466
227.15,0.037,1434.9,0.00069689,140.61,140.64,0.76305,0.82653,1.2445,835.65,-0.30662,514.8,0.11356,0.018203,2.0426,0.48958,352.08,370.19,1.7736,0.6377,0.73114,142.51,63.359,9.0464,0.0076863
227.63,0.038,1433.6,0.00069755,141.21,141.24,0.76567,0.82703,1.2453,833.38,-0.30566,510.72,0.11332,0.018129,2.0942,0.47751,352.35,370.5,1.7728,0.63888,0.73253,142.6,62.815,9.0642,0.0077251
228.1,0.039,1432.2,0.00069821,141.79,141.82,0.76823,0.82751,1.2461,831.15,-0.30472,506.78,0.11309,0.018057,2.1458,0.46603,352.62,370.79,1.7721,0.64003,0.7339,142.69,62.291,9.0817,0.0077631
228.55,0.04,1430.9,0.00069885,142.36,142.39,0.77073,0.82799,1.2468,828.97,-0.30379,502.96,0.11286,0.017987,2.1973,0.45511,352.88,371.09,1.7713,0.64116,0.73525,142.78,61.785,9.0987,0.0078003
229,0.041,1429.6,0.00069948,142.92,142.95,0.77318,0.82846,1.2476,826.83,-0.30288,499.27,0.11264,0.017918,2.2487,0.44471,353.14,371.37,1.7706,0.64227,0.73657,142.87,61.296,9.1154,0.0078367
229.45,0.042,1428.4,0.0007001,143.47,143.5,0.77558,0.82892,1.2483,824.74,-0.30197,495.68,0.11242,0.01785,2.3,0.43478,353.39,371.65,1.7699,0.64336,0.73787,142.95,60.822,9.1318,0.0078725
229.88,0.043,1427.1,0.0007007,144.01,144.04,0.77793,0.82937,1.249,822.69,-0.30108,492.2,0.1122,0.017784,2.3513,0.4253,353.64,371.93,1.7692,0.64443,0.73916,143.03,60.365,9.1479,0.0079076
230.3,0.044,1425.9,0.0007013,144.54,144.57,0.78023,0.82982,1.2498,820.68,-0.3002,488.82,0.11199,0.017719,2.4024,0.41624,353.88,372.2,1.7686,0.64548,0.74042,143.11,59.921,9.1636,0.0079421
230.72,0.045,1424.7,0.00070189,145.06,145.1,0.78249,0.83026,1.2505,818.7,-0.29933,485.54,0.11179,0.017656,2.4536,0.40757,354.12,372.46,1.7679,0.64651,0.74166,143.19,59.491,9.1791,0.0079759
231.13,0.046,1423.5,0.00070247,145.58,145.61,0.7847,0.83069,1.2512,816.77,-0.29846,482.35,0.11159,0.017593,2.5046,0.39926,354.35,372.72,1.7673,0.64753,0.74289,143.27,59.074,9.1942,0.0080092
231.53,0.047,1422.4,0.00070305,146.08,146.11,0.78688,0.83112,1.2518,814.86,-0.29761,479.24,0.11139,0.017532,2.5556,0.3913,354.58,372.97,1.7667,0.64853,0.74409,143.34,58.669,9.2091,0.0080418
