Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
216.59	0.51795	1178.5	0.00084856	79.595	80.034	0.52131	0.97466	1.9532	975.85	-0.14430	253.37	0.17716	0.016495	13.761	0.072672	392.78	430.42	2.1390	0.62920	0.90871	222.78	26.174	10.892	0.011116
217.09	0.52938	1176.7	0.00084986	80.571	81.021	0.52582	0.97394	1.9544	972.21	-0.14253	251.23	0.17653	0.016376	14.050	0.071173	392.93	430.60	2.1361	0.63062	0.91179	222.84	26.008	10.917	0.011161
217.59	0.54081	1174.9	0.00085115	81.532	81.992	0.53024	0.97323	1.9556	968.62	-0.14077	249.15	0.17591	0.016259	14.340	0.069734	393.07	430.78	2.1332	0.63201	0.91486	222.90	25.847	10.941	0.011205
218.08	0.55225	1173.1	0.00085243	82.478	82.949	0.53459	0.97253	1.9568	965.10	-0.13900	247.12	0.17530	0.016144	14.630	0.068354	393.21	430.96	2.1304	0.63340	0.91792	222.95	25.689	10.966	0.011249
218.56	0.56368	1171.4	0.00085369	83.410	83.891	0.53886	0.97185	1.9580	961.63	-0.13724	245.14	0.17470	0.016031	14.919	0.067026	393.35	431.13	2.1277	0.63477	0.92096	223.00	25.536	10.989	0.011292
219.03	0.57511	1169.7	0.00085494	84.328	84.820	0.54306	0.97119	1.9592	958.22	-0.13548	243.20	0.17411	0.015921	15.209	0.065750	393.49	431.30	2.1249	0.63613	0.92399	223.05	25.387	11.013	0.011335
219.50	0.58654	1168.0	0.00085618	85.233	85.735	0.54719	0.97053	1.9604	954.86	-0.13373	241.31	0.17353	0.015811	15.499	0.064522	393.62	431.46	2.1223	0.63747	0.92701	223.10	25.241	11.036	0.011377
219.95	0.59798	1166.3	0.00085741	86.125	86.638	0.55125	0.96989	1.9617	951.55	-0.13197	239.47	0.17296	0.015704	15.788	0.063339	393.75	431.62	2.1197	0.63881	0.93002	223.14	25.098	11.059	0.011419
220.41	0.60941	1164.7	0.00085862	87.005	87.528	0.55525	0.96926	1.9629	948.28	-0.13022	237.67	0.17239	0.015598	16.078	0.062198	393.87	431.78	2.1171	0.64013	0.93302	223.18	24.959	11.082	0.011461
220.85	0.62084	1163.0	0.00085983	87.872	88.406	0.55919	0.96864	1.9642	945.07	-0.12847	235.91	0.17184	0.015494	16.367	0.061098	394.00	431.93	2.1146	0.64144	0.93601	223.22	24.823	11.105	0.011502
